difficulty,label,SAM+pts-bilateral-filter,SAM+pts-no-filter,SAM-bilateral-filter,SAM-no-filter,SAM2+pts-bilateral-filter,SAM2+pts-no-filter,SAM2-bilateral-filter,SAM2-no-filter,mSAM+pts-bilateral-filter,mSAM+pts-bilateral-filter-single,mSAM+pts-no-filter,mSAM+pts-no-filter-single,mSAM-bilateral-filter,mSAM-bilateral-filter-single,mSAM-no-filter,mSAM-no-filter-single
easy,HT10a,0.4080629818326126,0.3800530906332954,0.1433064383504274,0.1408196301604868,0.1209813275353552,0.1367547713151152,0.1442430355712463,0.1459349031034567,0.2560834710890702,0.2176382290586651,0.1736086137964588,0.2332771056305258,0.1389819305118757,0.0574354223540658,0.138032033849365,0.0567956564659427
easy,HT131a,0.3532990335813112,0.343291030352825,0.1891491024958907,0.1806480936033638,0.18229825999085,0.1893524612388769,0.194516081104616,0.1970281220256301,0.3360336725574422,0.2036406606082773,0.3328266741536048,0.1800423344420925,0.0340132193592889,0.0230231407415954,0.002259964750901,0.0009932086889316
easy,HT17,0.3844154306768801,0.3887952041448341,0.3326633530457497,0.3328009136013951,0.1222814708569974,0.1280774284083014,0.1283267233282275,0.1328957771053134,0.3135078955308948,0.2647960712885897,0.3681975339827284,0.2642793666181935,0.1212741074656063,0.0560262398442299,0.0379557445468147,0.0297887080013855
easy,HT21,0.2744338091926753,0.2779539571798344,0.0530565579334738,0.1295024960706229,0.1079077593250424,0.1199771198744894,0.1268444658692905,0.1287024499078745,0.3429305362303328,0.2150321929655967,0.3339121918485234,0.2148428182989076,0.0938466597025609,0.0431250330945482,0.0088793703150769,0.006961727315531
easy,HT22,0.3456166389809017,0.3197774355407621,0.1667605920067995,0.1611050296842477,0.1404353004456739,0.1528917434356946,0.168424187015984,0.1698013735056767,0.2779032519965162,0.200367841363127,0.234568864611783,0.1729333588558615,0.161047098280783,0.0607282054015708,0.1525647765997526,0.0567273189453448
easy,HT7a,0.2574904491160683,0.2588502195592114,0.2081055001608234,0.1860600569505565,0.1135096709220698,0.1199154260557261,0.1298753401400097,0.1318663700675364,0.3581603273223215,0.1352290679304897,0.3082741522040593,0.1503537330860636,0.0825288913084852,0.0245986341336202,0.1004687168875204,0.0197203071893901
easy,MA9,0.1757515240023691,0.213181513896809,0.104630926705848,0.1050297069460625,0.0727442767590739,0.076596413580353,0.0895269621339206,0.0926102698752389,0.1619199368293405,0.1197333896311487,0.2111761149522471,0.1090600883258241,0.0857471490266628,0.0340970830872206,0.0797878245325393,0.0312795448375213
easy,PH2,0.399670259873059,0.3829059065320346,0.1470654991350322,0.1463647082311549,0.1292918465624383,0.1376834607779612,0.152038456068933,0.1559954882082082,0.2439516129032258,0.225138042267911,0.2015847372874836,0.2296477820235919,0.142541250240307,0.0523868089943238,0.130208995963498,0.0462821003310992
easy,PH31a,0.314608562282019,0.3375229043754908,0.1467527525066452,0.1557774637422007,0.1392236590551492,0.1469560542474038,0.1483928542816,0.1511565154840935,0.32935950223528,0.1850509740587463,0.324309877748037,0.1908438082073029,0.1262580322077877,0.046027819828054,0.1244740908137628,0.0448652089428896
hard,HT1,0.21203370386486808,0.22922599768576002,0.10238365909132494,0.10163741389887312,0.10271334026110006,0.10657681365188139,0.10652638397848192,0.10840778352981444,0.12116075721398711,0.0934784491469153,0.11065788286255752,0.0822031266176622,0.10672166238834108,0.045191647877659,0.11677062452370016,0.0489101181217497
hard,HT115b,0.1217605203069089,0.124498767662149,0.12457847531523226,0.1272147278811607,0.08506415876918624,0.08847221610857037,0.08871492418026883,0.09010079377731524,0.09379019158737235,0.0244271230147101,0.08158895210096996,0.0252012941205088,0.07798738482109119,0.0144624203791254,0.004396376042803606,0.0014366341713699
